,station_name_sort,Station Name
0,RM,Richmond
1,EN,El Cerrito Del Norte
2,EP,El Cerrito Plaza
3,NB,North Berkeley
4,BK,Berkeley
5,AS,Ashby
6,MA,MacArthur
7,19,19th Street Oakland
8,12,12th Street / Oakland City Center
9,LM,Lake Merritt
10,FV,Fruitvale
11,CL,Coliseum
12,SL,San Leandro
13,BF,Bayfair
14,HY,Hayward
15,SH,South Hayward
16,UC,Union City
17,FM,Fremont
18,CN,Concord
19,PH,Pleasant Hill
20,WC,Walnut Creek
21,LF,Lafayette
22,OR,Orinda
23,RR,Rockridge
24,OW,West Oakland
25,EM,Embarcadero
26,MT,Montgomery Street
27,PL,Powell Street
28,CC,Civic Center
29,16,16th Street Mission
30,24,24th Street Mission
31,GP,Glen Park
32,BP,Balboa Park
33,DC,Daly City
34,CM,Colma
35,CV,Castro Valley
36,ED,Dublin/Pleasanton
37,NC,North Concord
38,WP,Pittsburg/Bay Point
39,SS,South San Francisco
40,SB,San Bruno
41,SO,San Francisco International Airport
42,MB,Millbrae
43,WD,West Dublin/Pleasanton
44,OA,Oakland International Airport
45,WS,Warm Springs
